,Token,ATH date,Price,24hr change,24 hrs High,3 days High,7 days High,30 days High,24 hrs Wick High,24 hrs Volume,cmc_rank,symbol,ratings,contract_address,CATEGORY,self_reported_tags,url,ALGORITHM,OTHERS,date_added,PLATFORM,slug
580,GRAPE/USDT,2024-10-18,0.001817,-30.24952015355086,-32.70370370370371,-32.70370370370371,-32.70370370370371,-32.70370370370371,-41.76282051282051,885275.390508,7301.0,GRAPE/USDT,3.3,"['BNB Smart Chain (BEP20)', 'Polygon', 'Avalanche C-Chain']",No tags available for this,"['Platform', 'Sports', 'Collectibles & NFTs', 'Loyalty', 'DeFi', 'Gaming', 'Entertainment', 'Staking', 'Ethereum Ecosystem', 'Yield Farming', 'Binance Chain', 'BNB Smart Chain', 'Social Token', 'Fan Token', 'Avalanche Ecosystem', 'Metaverse', 'Polygon Ecosystem', 'Play To Earn', 'Web3', 'BNB Chain']",https://coinmarketcap.com/currencies/grapeswap,No tags available for this,No tags available for this,2021-02-23,['BNB Chain'],grapeswap
574,IRL/USDT,2024-10-18,0.04116,302.3460410557185,-31.944444444444443,-31.944444444444443,-31.944444444444443,-31.944444444444443,-40.21786492374727,809289.372367941,,,,,,,,,,,,
489,PZP/USDT,2024-09-25,0.04454,-23.352262949578385,-29.301587301587297,-40.77127659574467,-40.77127659574467,-68.72191011235955,-29.301587301587297,199260.920828,847.0,PZP/USDT,3.9,"['BNB Smart Chain (BEP20)', 'KCC', 'EOS EVM']","['Play To Earn', 'DWF Labs Portfolio']","['Gaming', 'Play To Earn', 'BNB Chain']",https://coinmarketcap.com/currencies/playzap,No tags available for this,No tags available for this,2022-11-04,['BNB Smart Chain'],playzap
152,ACE/USDT,2024-10-18,0.002443,14.105558150396998,-24.9923242247467,-24.9923242247467,-24.9923242247467,-24.9923242247467,-28.378774552917037,190988.7061271513,988.0,ACE/USDT,4.0,['Ethereum'],No tags available for this,"['Platform', 'DAO', 'DApp', 'Governance', 'Metaverse', 'Web3']",https://coinmarketcap.com/currencies/acent,No tags available for this,No tags available for this,2021-05-13,No tags available for this,acent
571,GTT/USDT,2024-10-16,0.000174,-17.535545023696685,-24.347826086956523,-51.532033426183844,-51.532033426183844,-51.532033426183844,-28.39506172839506,126457.8155873185,,,,,,,,,,,,
256,REEF/USDT,2024-10-14,0.002092,16.41624930439622,-24.010170722847793,-55.73423614049936,-80.89497716894977,-80.89497716894977,-27.436697884148458,9996438.582627485,513.0,REEF/USDT,4.2,"['Ethereum', 'BNB Smart Chain (BEP20)']","['Wallet', 'Binance Launchpool', 'Metaverse']",,https://coinmarketcap.com/currencies/reef,['Hybrid - PoW & nPoS'],No tags available for this,2020-09-08,['Reef Chain'],reef
775,BABYBNB/USDT,2024-10-04,0.02185,-22.95486600846262,-22.95486600846262,-47.1328332930075,-63.24642556770396,,-24.525043177892915,1030275.764885,,,,,,,,,,,,
389,EPX/USDT,2024-10-15,5.4e-05,-16.537867078825354,-22.857142857142854,-32.330827067669176,-41.49512459371614,-41.49512459371614,-22.857142857142854,531016.12804231829,803.0,EPX/USDT,no rating found,['BNB Smart Chain (BEP20)'],"['Decentralized Exchange (DEX) Token', 'DeFi', 'DEX']",,https://coinmarketcap.com/currencies/ellipsis-epx,No tags available for this,No tags available for this,2022-05-04,['BNB Chain'],ellipsis-epx
712,BEER/USDT,2024-09-27,1.1021e-05,-18.290332147093714,-21.064317433032514,-24.045485871812545,-37.162894121671705,-48.910624884109026,-21.402082441877056,647686.29300369,2110.0,BEER/USDT,3.6,['BNB Smart Chain (BEP20)'],No tags available,['BNB Smart Chain'],https://coinmarketcap.com/currencies/beer-money,No tags available,No tags available,2020-05-12,No tags available,beer-money
516,CANDY/USDT,2024-10-18,0.00062,-10.14492753623188,-20.51282051282051,-20.51282051282051,-20.51282051282051,-20.51282051282051,-27.058823529411764,157149.004834753,1913.0,CANDY/USDT,3.5,['BNB Smart Chain (BEP20)'],['Tourism'],,https://coinmarketcap.com/currencies/tripcandy,No tags available for this,No tags available for this,2021-07-28,['BNB Chain'],tripcandy
